"'60"	1
"'90"	1
"'historia"	1
"0"	12
"000"	21
"007"	1
"015"	1
"016"	1
"026"	1
"038"	1
"048"	1
"05"	1
"057"	1
"061"	1
"091"	1
"1"	38
"10"	13
"100"	10
"1000"	5
"1009"	1
"101"	2
"102"	1
"1023"	1
"105"	1
"108"	1
"1094"	1
"11"	8
"110"	1
"113"	3
"114"	1
"115"	1
"116"	2
"117"	1
"118"	6
"119"	1
"12"	9
"120"	4
"1200"	1
"121"	1
"122"	1
"123"	2
"124"	2
"125"	5
"126"	1
"127"	1
"128"	1
"129"	2
"13"	9
"130"	2
"130b"	1
"131"	1
"132"	3
"133"	1
"134"	1
"135"	1
"136"	2
"137"	1
"138"	1
"139"	1
"14"	8
"140"	4
"1400"	1
"141"	1
"142"	2
"143"	1
"1435"	1
"144"	2
"145"	1
"146"	1
"147"	2
"148"	1
"149"	1
"15"	17
"150"	6
"1500"	2
"151"	1
"152"	2
"1527"	1
"153"	1
"154"	1
"155"	1
"156"	1
"157"	1
"158"	1
"159"	3
"16"	13
"160"	1
"161"	1
"162"	1
"165"	2
"166"	1
"167"	2
"1673"	1
"1680"	2
"17"	15
"171"	1
"1723"	2
"1724"	1
"1726"	2
"1737"	1
"17378"	1
"1742"	1
"1749"	1
"175"	1
"1751"	1
"176"	4
"1762"	1
"1763"	1
"1777"	1
"179"	1
"1798"	1
"18"	12
"1800"	1
"1806"	1
"1807"	1
"1810"	1
"1815"	2
"1816"	2
"182"	1
"1821"	1
"1825"	1
"1828"	4
"1829"	1
"183"	1
"1830"	3
"1831"	1
"1834"	1
"1838"	1
"184"	1
"185"	1
"1850"	1
"18567"	1
"186"	1
"1861"	1
"187"	1
"1870"	2
"1872"	2
"1877"	2
"188"	2
"189"	1
"1892"	1
"1897"	2
"1898"	2
"19"	10
"190"	4
"1900"	3
"1903"	1
"1904"	1
"1906"	1
"1907"	1
"1908"	1
"191"	2
"1910"	1
"1911"	1
"1912"	1
"1913"	1
"1915"	2
"1918"	2
"1919"	3
"192"	1
"1923"	1
"1924"	3
"1928"	4
"1929"	4
"193"	1
"1930"	3
"1933"	1
"1936"	3
"1938"	1
"194"	1
"1940"	3
"1943"	1
"1944"	1
"1945"	1
"1947"	1
"195"	1
"1950"	6
"1952"	3
"1955"	2
"1956"	2
"1957"	1
"1959"	2
"196"	1
"1960"	4
"1961"	1
"1962"	2
"1963"	1
"1966"	2
"1967"	1
"197"	1
"1970"	1
"1972"	1
"1973"	3
"1974"	1
"1976"	2
"1979"	4
"198"	1
"1980"	2
"1981"	1
"1982"	2
"1983"	1
"1984"	2
"1985"	8
"1986"	2
"1989"	2
"199"	2
"1990"	2
"1991"	1
"1992"	2
"1993"	2
"1994"	2
"1995"	3
"1996"	5
"1997"	6
"1998"	1
"1999"	3
"1h"	1
"2"	25
"20"	15
"200"	7
"2000"	6
"2001"	5
"2002"	11
"2003"	9
"2004"	9
"2005"	8
"2006"	10
"2007"	14
"2008"	12
"2009"	22
"201"	1
"2010"	16
"2011"	14
"2012"	5
"2013"	11
"2014"	7
"2015"	11
"2016"	8
"2018"	3
"2019"	8
"202"	1
"2020"	9
"2021"	3
"2022"	6
"2023"	3
"203"	1
"204"	1
"205"	1
"206"	1
"206h"	1
"207"	1
"208"	1
"209"	1
"21"	6
"212"	2
"214"	1
"215"	4
"22"	11
"220"	2
"221"	1
"222"	1
"223"	1
"224"	1
"225"	2
"226"	2
"227"	1
"228"	1
"229"	1
"23"	2
"230"	2
"231"	1
"232"	1
"233"	1
"234"	1
"235"	1
"236"	1
"237"	2
"238"	1
"239"	2
"24"	15
"240"	1
"241"	1
"242"	2
"243"	1
"244"	1
"245"	1
"246"	1
"247"	1
"248"	1
"249"	1
"25"	9
"250"	3
"2500"	4
"251"	1
"252"	1
"253"	2
"254"	1
"255"	1
"256"	1
"258"	1
"259"	2
"26"	5
"260"	2
"261"	1
"262"	1
"263"	1
"264"	1
"265"	1
"266"	1
"267"	1
"27"	7
"271"	1
"272"	2
"273"	2
"274"	1
"275"	1
"276"	1
"278"	2
"279"	1
"28"	3
"280"	1
"281"	1
"282"	1
"283"	1
"284"	1
"285"	1
"286"	4
"2862"	1
"29"	8
"292"	1
"293"	1
"3"	31
"30"	16
"300"	1
"3000"	3
"303"	1
"304"	1
"3073"	1
"31"	8
"314"	2
"3164"	1
"32"	3
"320"	1
"325"	1
"33"	2
"333"	1
"339"	1
"34"	4
"35"	4
"350"	5
"3500"	1
"353"	2
"356"	1
"358"	1
"36"	5
"363"	2
"365"	1
"366"	1
"37"	1
"37b"	1
"38"	3
"384"	1
"385"	1
"386"	1
"39"	2
"4"	29
"40"	4
"400"	1
"41"	2
"414"	1
"41d"	1
"42"	5
"4220"	1
"43"	4
"430"	1
"435"	1
"44"	1
"45"	4
"454"	1
"46"	6
"461"	1
"47"	3
"470"	1
"48"	7
"480"	1
"49"	1
"492"	1
"4g"	1
"4x4"	1
"5"	31
"50"	9
"500"	3
"5000"	3
"50s"	1
"51"	1
"514"	1
"52"	4
"520"	1
"5217"	1
"53"	4
"530"	1
"54"	4
"55"	6
"5500"	1
"56"	5
"563"	1
"57"	4
"58"	3
"59"	1
"592"	2
"6"	25
"60"	7
"600"	2
"6000"	1
"603"	1
"609"	1
"60s"	1
"61"	2
"62"	3
"627"	1
"63"	2
"64"	5
"65"	2
"653"	1
"66"	3
"67"	3
"674"	1
"68"	4
"69"	5
"7"	16
"70"	9
"700"	1
"71"	2
"72"	1
"720"	1
"726"	1
"727"	1
"73"	3
"74"	4
"748"	1
"75"	5
"752"	1
"7590"	1
"76"	2
"77"	5
"78"	2
"781"	1
"783"	1
"79"	1
"790"	1
"795"	2
"7977"	1
"799"	1
"8"	14
"80"	3
"800"	1
"8000"	1
"804"	1
"805"	1
"81"	2
"814"	1
"82"	1
"829"	1
"83"	4
"830"	1
"838"	1
"84"	2
"842"	1
"848"	1
"85"	2
"850"	1
"854"	1
"8580"	1
"86"	2
"87"	2
"879"	1
"88"	3
"884"	1
"888"	1
"89"	2
"892"	2
"899"	1
"9"	17
"90"	3
"909"	1
"91"	4
"92"	2
"9246"	1
"93"	5
"94"	1
"941"	1
"95"	3
"954"	1
"96"	2
"960"	1
"97"	3
"98"	4
"99"	2
"\u00aa"	1
"\u00ba"	24
"\u00e1gatas"	2
"\u00e1gueda"	1
"\u00e1guila"	1
"\u00e1lvarez"	2
